geo,name,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
gtm,Guatemala,,,,105,,,,,190,,,,,,,153,,,,,,,139,,,,,116,113,108,108,113.8,110,113,105,99,122,91,84
guy,Guyana,,,,,,,,,,,,,159.9,105.9,231,133,92,117,124,116,148,135,106,111.4,99.3,174.3,134.6,122.5,130.4,121.7,106.4,77.3,91,128.6,174.9,79,139,160,
hnd,Honduras,,,,,,,,,,,,,108,,,,,,,,,,,,,72.8,79,74.1,86,69.9,60,77,56,78,53,61,125,48,65
hti,Haiti,,,,,,,,,,,,,,,,523,,,,,,630,,,,,,,,,,529,529,,,,,,
ind,India,,,,,,,,437,,,,,,398,540,327,,301,,,254,,,212,,,178,167,,,130,,,,,,,,
irn,Iran,,,,,,,,,,,,,,,,,,27.4,28.3,24.1,23.8,21.7,24.7,20.9,25.4,22.1,21.5,19.9,19.7,,,,,,,,,,
irq,Iraq,,,,,,,,,,291,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,29.6
isl,Iceland,,,,,,,,,,,,,5.4941,,,,,,,,,,,,,,,,,,,,,,,,,,
jam,Jamaica,,,,,,,,,,,,,,,,91.35402,,95,,,,92.55047,,,73.2,113.1,95.8,101.3429,106.5,113.5,87.1,110.6,61.00041,96.46584,117.60656,117.85157,108.67596,161,136.9
jpn,Japan,,,,,,,9.45654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khm,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,
kna,St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,151.1,,141,,152.4,150.2,314,,155.5,158.2,147.9,154.3,337.8,168.4,316.5,,200,207.9
kor,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.02346,,,,,,,,,
lbn,Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,16.85434,13.37077,13.7,16.9,46.8,18.5,
lbr,Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742,,,,
lca,St. Lucia,,,,,,,,,,,,,,,,,,,,,,47.1,90.7,223.7,,159.4,49.8,49.2,47.6,98,96.9,,53.6,52.6,52.5,54.6,52.1,,
lka,Sri Lanka,,,,,,,,,,,61,62,63,53,55.8,55.6,46.6,53.4,42.4,38,44,39.3,38.4,33.4,40.2,31.1,32.5,37.7,32.5,32,33.7,33.8,39,32,29.2,30.2,47.04,33,
lso,Lesotho,,,,,,,,,,,,,,,,,,,,,939,,,,,,,,,,,,,,,,,,530
mar,Morocco,,,,,,,,,,228,,,,,,,,,,,,,,,112,,,,,,,,,,,,,,
mex,Mexico,,,,,,,,,,,78.77,78.39,76.35,76.35,77.31,71.31,66.54,54.58,55.37,52.62,52.91,49.6,46.45,47.19,50.9,42.09,42.75,42.07,38.08,38.91,35.21,37.77,35.56,35.22,35.56,55.23,59.19,38.21,
mli,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325,,,,,
mmr,Myanmar,,,,,,,,,,,,,,,255,,,,,315.86,,,,,,,,,,,,,,,,,,,
mng,Mongolia,,,,,,,,203.9,259,219,186,173.7,143.5,162.4,182,166.2,165,121.5,107.2,96.7,92.7,67.2,88.3,48.6,81,47.4,48.7,51.5,42.6,30.2,,,,,,,,,
moz,Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,
mrt,Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,,,
mwi,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439,,,,,,,,
nam,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.1,,,
nga,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,,,,,
nic,Nicaragua,,,,,,,,,,,,,,,,,87,89.4,72,87.3,86.5,90.4,76.5,,,,,49.7,49.7,37,42.2,37.3,34.4,34.5,31.1,37.5,31.1,31.2,
npl,Nepal,,,,,,,,,,,,,,,,,,,,,,,,229,,,,,,,,239,,,,,,,
omn,Oman,,,,,,,27.4,15.9,6,24.4,22,21,13.3,18.5,13.7,16.1,23.1,37.5,23.2,18.5,15.4,12.1,20.9,15.4,15.4,24.4,16.2,16.5,11.3,19.3,18.5,12.5,21,15.2,,,,,
